model,dataset,pearson_brier_brier1,pvalue_brier_brier1,pearson_brier_brier2,pvalue_brier_brier2,pearson_brier_brier3,pvalue_brier_brier3,pearson_brier1_brier2,pvalue_brier1_brier2,pearson_brier1_brier3,pvalue_brier1_brier3,pearson_brier2_brier3,pvalue_brier2_brier3
Llama-3.1-8B-Instruct,attitudes.,-0.08859086418571416,0.2317479161872376,0.03315218264555523,0.6550510129776196,-0.1007566575134335,0.17355113201770678,0.32644414278839595,6.11299006458733e-06,0.44245416408901106,3.2065924214662445e-10,0.38681777463404865,5.8304002130906286e-08
Qwen2.5-7B-Instruct,cade.,0.1433129919262515,0.4187563295692176,0.3532655726351417,0.04041958250433107,0.5292537861073339,0.0012888215077330096,0.4982762562504465,0.0027082068599452542,-0.06553584393551587,0.7126949571085591,-0.0942787162358634,0.5958651273447659
Llama-3.2-1B-Instruct,cade.,0.4011199677229252,0.018716920429465447,0.20453007209716412,0.24592137271584397,0.22625019468679797,0.19820975520839212,-0.01921830393474461,0.9140914836159026,0.146170557050859,0.40944120067608697,-0.07405627602779939,0.6772350451391701
Llama-3.2-1B-Instruct,attitudes.,-0.20057719483197922,0.006333048510920282,-0.14434673832445952,0.050592353845349713,-0.13665913138824828,0.06434385026619277,0.5657014565076568,5.903339221204811e-17,0.5041591428446888,2.9645100284622306e-13,0.40861107236181826,8.499085793603159e-09
Llama-3.2-1B-Instruct,davani.,0.06493079028435711,1.994415716922305e-05,0.10484075986934055,5.2339645203008825e-12,0.09563381946042294,3.168769894579446e-10,0.1283413311596013,2.7373835286587215e-17,0.11546707407499524,2.8969195409790687e-14,0.11478982404541299,4.0946094067332744e-14
Qwen2.5-7B-Instruct,measuring.,-0.035712177801833445,0.0015877181278524494,-0.05032177117851754,8.525968000904308e-06,-0.0660736477534173,4.985593591148071e-09,0.1256563810028698,6.929287664388016e-29,0.13741212645124767,2.8908701202716777e-34,0.12330647006721775,7.199977529543056e-28
Qwen2.5-1.5B-Instruct,measuring.,0.17332130535331147,8.877137348513545e-54,0.15367661829600032,1.5966164291674357e-42,0.1596198447879548,8.854123128678275e-46,0.5333623675344192,0.0,0.5263635052270408,0.0,0.5259764646357972,0.0
Qwen2.5-1.5B-Instruct,cade.,0.5883267977529586,0.00025272933131991447,0.6083530838475089,0.00013508356552097573,0.5124879608293947,0.0019429927366318694,0.6129921083920576,0.00011613071549173475,0.7201049739564302,1.5783292347269228e-06,0.6527138786925467,2.8679405797138077e-05
Llama-3.1-8B-Instruct,cade.,-0.15138449020638226,0.39275076034315115,0.11247540289496187,0.5265233111537677,0.1618081514349874,0.36058568868211993,-0.3622956171121849,0.03523557353247642,0.6474016771114198,3.4979493310319845e-05,-0.16546818214183093,0.34967660834498226
Qwen2.5-7B-Instruct,davani.,0.02392593387792865,0.11633636836882506,0.007406403357049299,0.6269360038796041,-0.0243664849715543,0.10976242124922438,0.08189741354137309,7.306142992340325e-08,0.0804391871170789,1.241317923448038e-07,0.10142793601919343,2.500889443180603e-11
Llama-3.1-8B-Instruct,davani.,-0.030288949711037485,0.04679665095772907,-0.0442576104279523,0.003663365423657458,-0.06358153208998102,2.9577364058459054e-05,0.15714449552180798,3.1562982271543595e-25,0.1500307297135642,4.092698618698836e-23,0.17550513003264673,3.773218757878063e-31
Llama-3.1-8B-Instruct,measuring.,-0.030231232395455956,0.007512861549848033,-0.026810280328950054,0.01775936363684769,-0.03166469062076086,0.005109800338288336,0.2201159876752371,2.092062755695168e-86,0.2269517838558179,7.041463228682425e-92,0.20786316010360034,4.709464229254483e-77
Qwen2.5-1.5B-Instruct,attitudes.,-0.07434182496773058,0.3158907904483356,-0.10295465690149017,0.1643084812795263,-0.08150830281515842,0.27136306532337995,0.804894898125188,4.129185196438835e-43,0.7691043508482966,3.163039814604413e-37,0.7262796616923309,1.906218171802166e-31
Qwen2.5-1.5B-Instruct,davani.,0.016183586117130198,0.28819026618079846,0.012503535384425522,0.41189512258287814,0.0028554303751128166,0.8513588283898939,0.334593510496643,3.2849443697208585e-113,0.3324230446935629,1.1035583837214595e-111,0.33290215487158403,5.092723760366329e-112
Llama-3.2-1B-Instruct,measuring.,0.06774281364338551,2.0259466350490733e-09,0.042365256739047605,0.00017896484751876422,0.047579180677072,2.5691688856791536e-05,0.1689571859295565,3.723719914203777e-51,0.1617331730428403,5.73212817689514e-47,0.1573027800552376,1.70552444294361e-44
Qwen2.5-7B-Instruct,attitudes.,0.016563409305512145,0.8234100529894551,-0.0214537045487412,0.7725337105602449,0.07559635911796526,0.307770685389424,0.3577345384899822,6.181600632824209e-07,0.5037453674151139,3.121678721071417e-13,0.3134903021659791,1.4699434568346892e-05
