comment_id,label,probs
0,4,"{""0"": 0.0728033035993576, ""1"": 0.6997243165969849, ""2"": 0.12146881222724915, ""3"": 0.05613423511385918, ""4"": 0.04986930638551712}"
0,1,"{""0"": 0.0728033035993576, ""1"": 0.6997243165969849, ""2"": 0.12146881222724915, ""3"": 0.05613423511385918, ""4"": 0.04986930638551712}"
0,2,"{""0"": 0.0728033035993576, ""1"": 0.6997243165969849, ""2"": 0.12146881222724915, ""3"": 0.05613423511385918, ""4"": 0.04986930638551712}"
0,0,"{""0"": 0.0728033035993576, ""1"": 0.6997243165969849, ""2"": 0.12146881222724915, ""3"": 0.05613423511385918, ""4"": 0.04986930638551712}"
0,3,"{""0"": 0.0728033035993576, ""1"": 0.6997243165969849, ""2"": 0.12146881222724915, ""3"": 0.05613423511385918, ""4"": 0.04986930638551712}"
1,3,"{""0"": 0.005789384711533785, ""1"": 0.024248894304037094, ""2"": 0.3177676796913147, ""3"": 0.3456513583660126, ""4"": 0.30654269456863403}"
1,2,"{""0"": 0.005789384711533785, ""1"": 0.024248894304037094, ""2"": 0.3177676796913147, ""3"": 0.3456513583660126, ""4"": 0.30654269456863403}"
1,4,"{""0"": 0.005789384711533785, ""1"": 0.024248894304037094, ""2"": 0.3177676796913147, ""3"": 0.3456513583660126, ""4"": 0.30654269456863403}"
1,1,"{""0"": 0.005789384711533785, ""1"": 0.024248894304037094, ""2"": 0.3177676796913147, ""3"": 0.3456513583660126, ""4"": 0.30654269456863403}"
1,0,"{""0"": 0.005789384711533785, ""1"": 0.024248894304037094, ""2"": 0.3177676796913147, ""3"": 0.3456513583660126, ""4"": 0.30654269456863403}"
2,1,"{""0"": 0.803240954875946, ""1"": 0.08794385194778442, ""2"": 0.06142161786556244, ""3"": 0.023538202047348022, ""4"": 0.023855455219745636}"
2,2,"{""0"": 0.803240954875946, ""1"": 0.08794385194778442, ""2"": 0.06142161786556244, ""3"": 0.023538202047348022, ""4"": 0.023855455219745636}"
2,0,"{""0"": 0.803240954875946, ""1"": 0.08794385194778442, ""2"": 0.06142161786556244, ""3"": 0.023538202047348022, ""4"": 0.023855455219745636}"
2,4,"{""0"": 0.803240954875946, ""1"": 0.08794385194778442, ""2"": 0.06142161786556244, ""3"": 0.023538202047348022, ""4"": 0.023855455219745636}"
2,3,"{""0"": 0.803240954875946, ""1"": 0.08794385194778442, ""2"": 0.06142161786556244, ""3"": 0.023538202047348022, ""4"": 0.023855455219745636}"
3,1,"{""0"": 0.9505252838134766, ""1"": 0.019774286076426506, ""2"": 0.017586195841431618, ""3"": 0.007651657331734896, ""4"": 0.004462629556655884}"
3,3,"{""0"": 0.9505252838134766, ""1"": 0.019774286076426506, ""2"": 0.017586195841431618, ""3"": 0.007651657331734896, ""4"": 0.004462629556655884}"
3,0,"{""0"": 0.9505252838134766, ""1"": 0.019774286076426506, ""2"": 0.017586195841431618, ""3"": 0.007651657331734896, ""4"": 0.004462629556655884}"
3,4,"{""0"": 0.9505252838134766, ""1"": 0.019774286076426506, ""2"": 0.017586195841431618, ""3"": 0.007651657331734896, ""4"": 0.004462629556655884}"
3,2,"{""0"": 0.9505252838134766, ""1"": 0.019774286076426506, ""2"": 0.017586195841431618, ""3"": 0.007651657331734896, ""4"": 0.004462629556655884}"
4,0,"{""0"": 0.1573668122291565, ""1"": 0.2608337998390198, ""2"": 0.3916059136390686, ""3"": 0.1257554143667221, ""4"": 0.06443801522254944}"
4,3,"{""0"": 0.1573668122291565, ""1"": 0.2608337998390198, ""2"": 0.3916059136390686, ""3"": 0.1257554143667221, ""4"": 0.06443801522254944}"
4,1,"{""0"": 0.1573668122291565, ""1"": 0.2608337998390198, ""2"": 0.3916059136390686, ""3"": 0.1257554143667221, ""4"": 0.06443801522254944}"
4,2,"{""0"": 0.1573668122291565, ""1"": 0.2608337998390198, ""2"": 0.3916059136390686, ""3"": 0.1257554143667221, ""4"": 0.06443801522254944}"
4,4,"{""0"": 0.1573668122291565, ""1"": 0.2608337998390198, ""2"": 0.3916059136390686, ""3"": 0.1257554143667221, ""4"": 0.06443801522254944}"
5,0,"{""0"": 0.09143254905939102, ""1"": 0.7041956186294556, ""2"": 0.09193776547908783, ""3"": 0.056841760873794556, ""4"": 0.05559234321117401}"
5,1,"{""0"": 0.09143254905939102, ""1"": 0.7041956186294556, ""2"": 0.09193776547908783, ""3"": 0.056841760873794556, ""4"": 0.05559234321117401}"
5,3,"{""0"": 0.09143254905939102, ""1"": 0.7041956186294556, ""2"": 0.09193776547908783, ""3"": 0.056841760873794556, ""4"": 0.05559234321117401}"
5,2,"{""0"": 0.09143254905939102, ""1"": 0.7041956186294556, ""2"": 0.09193776547908783, ""3"": 0.056841760873794556, ""4"": 0.05559234321117401}"
5,4,"{""0"": 0.09143254905939102, ""1"": 0.7041956186294556, ""2"": 0.09193776547908783, ""3"": 0.056841760873794556, ""4"": 0.05559234321117401}"
7,1,"{""0"": 0.1485038697719574, ""1"": 0.6486484408378601, ""2"": 0.10392848402261734, ""3"": 0.04579661414027214, ""4"": 0.05312266945838928}"
7,0,"{""0"": 0.1485038697719574, ""1"": 0.6486484408378601, ""2"": 0.10392848402261734, ""3"": 0.04579661414027214, ""4"": 0.05312266945838928}"
7,2,"{""0"": 0.1485038697719574, ""1"": 0.6486484408378601, ""2"": 0.10392848402261734, ""3"": 0.04579661414027214, ""4"": 0.05312266945838928}"
7,4,"{""0"": 0.1485038697719574, ""1"": 0.6486484408378601, ""2"": 0.10392848402261734, ""3"": 0.04579661414027214, ""4"": 0.05312266945838928}"
7,3,"{""0"": 0.1485038697719574, ""1"": 0.6486484408378601, ""2"": 0.10392848402261734, ""3"": 0.04579661414027214, ""4"": 0.05312266945838928}"
9,1,"{""0"": 0.1460140347480774, ""1"": 0.63899165391922, ""2"": 0.12952037155628204, ""3"": 0.05693497508764267, ""4"": 0.028539005666971207}"
9,0,"{""0"": 0.1460140347480774, ""1"": 0.63899165391922, ""2"": 0.12952037155628204, ""3"": 0.05693497508764267, ""4"": 0.028539005666971207}"
9,2,"{""0"": 0.1460140347480774, ""1"": 0.63899165391922, ""2"": 0.12952037155628204, ""3"": 0.05693497508764267, ""4"": 0.028539005666971207}"
10,0,"{""0"": 0.7831782698631287, ""1"": 0.10352635383605957, ""2"": 0.07881811261177063, ""3"": 0.020070752128958702, ""4"": 0.014406537637114525}"
10,1,"{""0"": 0.7831782698631287, ""1"": 0.10352635383605957, ""2"": 0.07881811261177063, ""3"": 0.020070752128958702, ""4"": 0.014406537637114525}"
10,2,"{""0"": 0.7831782698631287, ""1"": 0.10352635383605957, ""2"": 0.07881811261177063, ""3"": 0.020070752128958702, ""4"": 0.014406537637114525}"
10,3,"{""0"": 0.7831782698631287, ""1"": 0.10352635383605957, ""2"": 0.07881811261177063, ""3"": 0.020070752128958702, ""4"": 0.014406537637114525}"
10,4,"{""0"": 0.7831782698631287, ""1"": 0.10352635383605957, ""2"": 0.07881811261177063, ""3"": 0.020070752128958702, ""4"": 0.014406537637114525}"
11,0,"{""0"": 0.8704618215560913, ""1"": 0.06600330770015717, ""2"": 0.03846222162246704, ""3"": 0.014662245288491249, ""4"": 0.01041046716272831}"
11,1,"{""0"": 0.8704618215560913, ""1"": 0.06600330770015717, ""2"": 0.03846222162246704, ""3"": 0.014662245288491249, ""4"": 0.01041046716272831}"
11,4,"{""0"": 0.8704618215560913, ""1"": 0.06600330770015717, ""2"": 0.03846222162246704, ""3"": 0.014662245288491249, ""4"": 0.01041046716272831}"
11,2,"{""0"": 0.8704618215560913, ""1"": 0.06600330770015717, ""2"": 0.03846222162246704, ""3"": 0.014662245288491249, ""4"": 0.01041046716272831}"
11,3,"{""0"": 0.8704618215560913, ""1"": 0.06600330770015717, ""2"": 0.03846222162246704, ""3"": 0.014662245288491249, ""4"": 0.01041046716272831}"
12,4,"{""0"": 0.06379301100969315, ""1"": 0.45739197731018066, ""2"": 0.18479585647583008, ""3"": 0.13883982598781586, ""4"": 0.15517933666706085}"
12,0,"{""0"": 0.06379301100969315, ""1"": 0.45739197731018066, ""2"": 0.18479585647583008, ""3"": 0.13883982598781586, ""4"": 0.15517933666706085}"
12,1,"{""0"": 0.06379301100969315, ""1"": 0.45739197731018066, ""2"": 0.18479585647583008, ""3"": 0.13883982598781586, ""4"": 0.15517933666706085}"
12,2,"{""0"": 0.06379301100969315, ""1"": 0.45739197731018066, ""2"": 0.18479585647583008, ""3"": 0.13883982598781586, ""4"": 0.15517933666706085}"
12,3,"{""0"": 0.06379301100969315, ""1"": 0.45739197731018066, ""2"": 0.18479585647583008, ""3"": 0.13883982598781586, ""4"": 0.15517933666706085}"
13,0,"{""0"": 0.8060768842697144, ""1"": 0.1152128353714943, ""2"": 0.05478735268115997, ""3"": 0.0157111044973135, ""4"": 0.008211864158511162}"
13,1,"{""0"": 0.8060768842697144, ""1"": 0.1152128353714943, ""2"": 0.05478735268115997, ""3"": 0.0157111044973135, ""4"": 0.008211864158511162}"
13,2,"{""0"": 0.8060768842697144, ""1"": 0.1152128353714943, ""2"": 0.05478735268115997, ""3"": 0.0157111044973135, ""4"": 0.008211864158511162}"
13,4,"{""0"": 0.8060768842697144, ""1"": 0.1152128353714943, ""2"": 0.05478735268115997, ""3"": 0.0157111044973135, ""4"": 0.008211864158511162}"
13,3,"{""0"": 0.8060768842697144, ""1"": 0.1152128353714943, ""2"": 0.05478735268115997, ""3"": 0.0157111044973135, ""4"": 0.008211864158511162}"
14,0,"{""0"": 0.06452654302120209, ""1"": 0.1286870390176773, ""2"": 0.3754767179489136, ""3"": 0.21060273051261902, ""4"": 0.220706969499588}"
14,2,"{""0"": 0.06452654302120209, ""1"": 0.1286870390176773, ""2"": 0.3754767179489136, ""3"": 0.21060273051261902, ""4"": 0.220706969499588}"
14,1,"{""0"": 0.06452654302120209, ""1"": 0.1286870390176773, ""2"": 0.3754767179489136, ""3"": 0.21060273051261902, ""4"": 0.220706969499588}"
14,3,"{""0"": 0.06452654302120209, ""1"": 0.1286870390176773, ""2"": 0.3754767179489136, ""3"": 0.21060273051261902, ""4"": 0.220706969499588}"
14,4,"{""0"": 0.06452654302120209, ""1"": 0.1286870390176773, ""2"": 0.3754767179489136, ""3"": 0.21060273051261902, ""4"": 0.220706969499588}"
15,1,"{""0"": 0.8104825019836426, ""1"": 0.09077508002519608, ""2"": 0.07514045387506485, ""3"": 0.010027093812823296, ""4"": 0.013574809767305851}"
15,4,"{""0"": 0.8104825019836426, ""1"": 0.09077508002519608, ""2"": 0.07514045387506485, ""3"": 0.010027093812823296, ""4"": 0.013574809767305851}"
15,3,"{""0"": 0.8104825019836426, ""1"": 0.09077508002519608, ""2"": 0.07514045387506485, ""3"": 0.010027093812823296, ""4"": 0.013574809767305851}"
