comment_id,label,probs
4,5,"{""1"": 0.3828072249889374, ""2"": 0.18327391147613525, ""3"": 0.13456103205680847, ""4"": 0.1170925721526146, ""5"": 0.1822652518749237}"
4,2,"{""1"": 0.3828072249889374, ""2"": 0.18327391147613525, ""3"": 0.13456103205680847, ""4"": 0.1170925721526146, ""5"": 0.1822652518749237}"
4,4,"{""1"": 0.3828072249889374, ""2"": 0.18327391147613525, ""3"": 0.13456103205680847, ""4"": 0.1170925721526146, ""5"": 0.1822652518749237}"
15,4,"{""1"": 0.614706814289093, ""2"": 0.16856800019741058, ""3"": 0.09277807176113129, ""4"": 0.09062806516885757, ""5"": 0.033319029957056046}"
15,5,"{""1"": 0.614706814289093, ""2"": 0.16856800019741058, ""3"": 0.09277807176113129, ""4"": 0.09062806516885757, ""5"": 0.033319029957056046}"
15,2,"{""1"": 0.614706814289093, ""2"": 0.16856800019741058, ""3"": 0.09277807176113129, ""4"": 0.09062806516885757, ""5"": 0.033319029957056046}"
24,5,"{""1"": 0.5792829394340515, ""2"": 0.09074282646179199, ""3"": 0.05441100895404816, ""4"": 0.13997940719127655, ""5"": 0.13558383285999298}"
24,1,"{""1"": 0.5792829394340515, ""2"": 0.09074282646179199, ""3"": 0.05441100895404816, ""4"": 0.13997940719127655, ""5"": 0.13558383285999298}"
24,4,"{""1"": 0.5792829394340515, ""2"": 0.09074282646179199, ""3"": 0.05441100895404816, ""4"": 0.13997940719127655, ""5"": 0.13558383285999298}"
31,5,"{""1"": 0.22627778351306915, ""2"": 0.1379155069589615, ""3"": 0.15115180611610413, ""4"": 0.12793302536010742, ""5"": 0.3567218482494354}"
31,4,"{""1"": 0.22627778351306915, ""2"": 0.1379155069589615, ""3"": 0.15115180611610413, ""4"": 0.12793302536010742, ""5"": 0.3567218482494354}"
31,3,"{""1"": 0.22627778351306915, ""2"": 0.1379155069589615, ""3"": 0.15115180611610413, ""4"": 0.12793302536010742, ""5"": 0.3567218482494354}"
45,4,"{""1"": 0.3584810793399811, ""2"": 0.1428595930337906, ""3"": 0.11026860773563385, ""4"": 0.0701349526643753, ""5"": 0.3182557225227356}"
45,5,"{""1"": 0.3584810793399811, ""2"": 0.1428595930337906, ""3"": 0.11026860773563385, ""4"": 0.0701349526643753, ""5"": 0.3182557225227356}"
45,1,"{""1"": 0.3584810793399811, ""2"": 0.1428595930337906, ""3"": 0.11026860773563385, ""4"": 0.0701349526643753, ""5"": 0.3182557225227356}"
49,5,"{""1"": 0.6917047500610352, ""2"": 0.18791384994983673, ""3"": 0.05973762273788452, ""4"": 0.040195681154727936, ""5"": 0.020448090508580208}"
49,2,"{""1"": 0.6917047500610352, ""2"": 0.18791384994983673, ""3"": 0.05973762273788452, ""4"": 0.040195681154727936, ""5"": 0.020448090508580208}"
