comment_id,label,probs
Ugw-4AhDDIPtUPBMNjZ4AaABAg,1.0,"{""1"": 0.4145687222480774, ""2"": 0.23320238292217255, ""3"": 0.12533670663833618, ""4"": 0.22689223289489746}"
Ugw-8-4r_ie_L9ZQ5zd4AaABAg,2.0,"{""1"": 0.25924235582351685, ""2"": 0.20236307382583618, ""3"": 0.24696511030197144, ""4"": 0.29142943024635315}"
Ugw-8Nqin-FLbUbF6114AaABAg,2.0,"{""1"": 0.24009624123573303, ""2"": 0.18555127084255219, ""3"": 0.1090739443898201, ""4"": 0.4652785658836365}"
Ugw-Coi_2IQKUwIZnN14AaABAg,1.0,"{""1"": 0.4576760530471802, ""2"": 0.16251496970653534, ""3"": 0.14203931391239166, ""4"": 0.23776964843273163}"
Ugw-XhqZFNM7Z1aSiMt4AaABAg,3.0,"{""1"": 0.40142977237701416, ""2"": 0.2125944197177887, ""3"": 0.09330132603645325, ""4"": 0.2926745116710663}"
Ugw-XkoygOhQH9eyR814AaABAg,1.0,"{""1"": 0.6090834736824036, ""2"": 0.16450989246368408, ""3"": 0.07707615196704865, ""4"": 0.14933039247989655}"
Ugw-z2euYCdy_8PlvCp4AaABAg,2.0,"{""1"": 0.40023162961006165, ""2"": 0.23892904818058014, ""3"": 0.18449410796165466, ""4"": 0.17634524405002594}"
Ugw-zAoUth-zJSm-Rk14AaABAg,2.0,"{""1"": 0.4967547357082367, ""2"": 0.17381998896598816, ""3"": 0.1623009443283081, ""4"": 0.16712433099746704}"
Ugw0Azrl35Lsi3YKzEp4AaABAg,2.0,"{""1"": 0.3779659569263458, ""2"": 0.2559973895549774, ""3"": 0.20679934322834015, ""4"": 0.1592373102903366}"
Ugw0LNU6yznhlqbjGHx4AaABAg,1.0,"{""1"": 0.2810923457145691, ""2"": 0.22619865834712982, ""3"": 0.21465879678726196, ""4"": 0.2780502736568451}"
Ugw0SKomzyhYyP_9cO14AaABAg,1.0,"{""1"": 0.3260895013809204, ""2"": 0.24003338813781738, ""3"": 0.18429778516292572, ""4"": 0.2495793253183365}"
Ugw0cnGnpB65X7vH34p4AaABAg,4.0,"{""1"": 0.2841092050075531, ""2"": 0.20181944966316223, ""3"": 0.2487669587135315, ""4"": 0.2653043270111084}"
Ugw0hiW_vKxKJg798KN4AaABAg,2.0,"{""1"": 0.3890185058116913, ""2"": 0.271457701921463, ""3"": 0.14679113030433655, ""4"": 0.19273270666599274}"
Ugw0n4xsKzRQbiYUYNp4AaABAg,1.0,"{""1"": 0.41088977456092834, ""2"": 0.1999058574438095, ""3"": 0.15132512152194977, ""4"": 0.23787921667099}"
Ugw0qsGcLBGItHFSQb14AaABAg,2.0,"{""1"": 0.4648057818412781, ""2"": 0.15461322665214539, ""3"": 0.26941871643066406, ""4"": 0.1111622303724289}"
Ugw0tPb9IaRFcdHeTD14AaABAg,2.0,"{""1"": 0.5428957343101501, ""2"": 0.2258957475423813, ""3"": 0.09463969618082047, ""4"": 0.1365688443183899}"
Ugw1-cPEeNg4IQUDSy94AaABAg,2.0,"{""1"": 0.4390281140804291, ""2"": 0.18717823922634125, ""3"": 0.1394033581018448, ""4"": 0.23439031839370728}"
Ugw16D2oK20A__5E66N4AaABAg,4.0,"{""1"": 0.5316901206970215, ""2"": 0.1692754328250885, ""3"": 0.0951881855726242, ""4"": 0.20384620130062103}"
Ugw1Cv1E4ZprjTRZwtp4AaABAg,3.0,"{""1"": 0.27944061160087585, ""2"": 0.24116070568561554, ""3"": 0.22864480316638947, ""4"": 0.25075387954711914}"
Ugw1DH6JocRzddkSsId4AaABAg,1.0,"{""1"": 0.4685010015964508, ""2"": 0.20837652683258057, ""3"": 0.12426351010799408, ""4"": 0.19885897636413574}"
Ugw1ELFXR9p7t7aVoNl4AaABAg,2.0,"{""1"": 0.6518221497535706, ""2"": 0.11341632902622223, ""3"": 0.08857446908950806, ""4"": 0.14618705213069916}"
Ugw1N5Ie4Oya-s1zv014AaABAg,1.0,"{""1"": 0.4919801950454712, ""2"": 0.2561537027359009, ""3"": 0.12328439950942993, ""4"": 0.12858176231384277}"
Ugw1SAmYSjT1v9h9iHx4AaABAg,4.0,"{""1"": 0.5650511384010315, ""2"": 0.12863561511039734, ""3"": 0.0645640417933464, ""4"": 0.24174922704696655}"
Ugw1bbBQJxY3yxy4FBN4AaABAg,1.0,"{""1"": 0.6047466397285461, ""2"": 0.12701603770256042, ""3"": 0.18430589139461517, ""4"": 0.08393143117427826}"
Ugw1nCetQgEz2KVCeBB4AaABAg,2.0,"{""1"": 0.26960331201553345, ""2"": 0.18786399066448212, ""3"": 0.24112050235271454, ""4"": 0.3014122247695923}"
Ugw1oyNKWf7LfzCgnO54AaABAg,4.0,"{""1"": 0.32047876715660095, ""2"": 0.23569953441619873, ""3"": 0.21114091575145721, ""4"": 0.2326807677745819}"
Ugw1zjm6xZG2hX6gw754AaABAg,1.0,"{""1"": 0.5942332148551941, ""2"": 0.1500082015991211, ""3"": 0.08433882147073746, ""4"": 0.17141973972320557}"
Ugw2VnU0tp-VzvWbNZh4AaABAg,2.0,"{""1"": 0.2964516282081604, ""2"": 0.16201698780059814, ""3"": 0.20306140184402466, ""4"": 0.3384699821472168}"
Ugw2ZzXiYjBamRelnG14AaABAg,2.0,"{""1"": 0.2040919065475464, ""2"": 0.04915497452020645, ""3"": 0.016400663182139397, ""4"": 0.7303524613380432}"
Ugw2d4oklL_P_AlcWb94AaABAg,3.0,"{""1"": 0.3009524345397949, ""2"": 0.18125341832637787, ""3"": 0.20524254441261292, ""4"": 0.3125516176223755}"
Ugw2h8sGbSNTMpch-Ox4AaABAg,1.0,"{""1"": 0.3285495638847351, ""2"": 0.28460177779197693, ""3"": 0.19859454035758972, ""4"": 0.18825407326221466}"
