comment_id,label,probs
4,5,"{""1"": 0.10325847214249484, ""2"": 0.30581053340400804, ""3"": 0.29326966425049256, ""4"": 0.18871274142858793, ""5"": 0.10894858877441664}"
4,2,"{""1"": 0.10325847214249484, ""2"": 0.30581053340400804, ""3"": 0.29326966425049256, ""4"": 0.18871274142858793, ""5"": 0.10894858877441664}"
4,4,"{""1"": 0.10325847214249484, ""2"": 0.30581053340400804, ""3"": 0.29326966425049256, ""4"": 0.18871274142858793, ""5"": 0.10894858877441664}"
15,4,"{""1"": 0.4325667719058969, ""2"": 0.23939184162921132, ""3"": 0.14380170465679543, ""4"": 0.09074589421821344, ""5"": 0.0934937875898829}"
15,5,"{""1"": 0.4325667719058969, ""2"": 0.23939184162921132, ""3"": 0.14380170465679543, ""4"": 0.09074589421821344, ""5"": 0.0934937875898829}"
15,2,"{""1"": 0.4325667719058969, ""2"": 0.23939184162921132, ""3"": 0.14380170465679543, ""4"": 0.09074589421821344, ""5"": 0.0934937875898829}"
24,5,"{""1"": 0.028638619646436735, ""2"": 0.08305436602224658, ""3"": 0.27374614124823504, ""4"": 0.2854958297659822, ""5"": 0.3290650433170995}"
24,1,"{""1"": 0.028638619646436735, ""2"": 0.08305436602224658, ""3"": 0.27374614124823504, ""4"": 0.2854958297659822, ""5"": 0.3290650433170995}"
24,4,"{""1"": 0.028638619646436735, ""2"": 0.08305436602224658, ""3"": 0.27374614124823504, ""4"": 0.2854958297659822, ""5"": 0.3290650433170995}"
31,5,"{""1"": 0.04769977267964729, ""2"": 0.15672627185146684, ""3"": 0.36235117301776754, ""4"": 0.2648720489376701, ""5"": 0.1683507335134483}"
31,4,"{""1"": 0.04769977267964729, ""2"": 0.15672627185146684, ""3"": 0.36235117301776754, ""4"": 0.2648720489376701, ""5"": 0.1683507335134483}"
31,3,"{""1"": 0.04769977267964729, ""2"": 0.15672627185146684, ""3"": 0.36235117301776754, ""4"": 0.2648720489376701, ""5"": 0.1683507335134483}"
45,4,"{""1"": 0.16431840467582753, ""2"": 0.3071119379432084, ""3"": 0.04965351994599593, ""4"": 0.4460346374412205, ""5"": 0.03288149999374761}"
45,5,"{""1"": 0.16431840467582753, ""2"": 0.3071119379432084, ""3"": 0.04965351994599593, ""4"": 0.4460346374412205, ""5"": 0.03288149999374761}"
45,1,"{""1"": 0.16431840467582753, ""2"": 0.3071119379432084, ""3"": 0.04965351994599593, ""4"": 0.4460346374412205, ""5"": 0.03288149999374761}"
49,5,"{""1"": 0.020356362220628546, ""2"": 0.15507330254028376, ""3"": 0.4564433934395657, ""4"": 0.2896919530451701, ""5"": 0.07843498875435186}"
49,2,"{""1"": 0.020356362220628546, ""2"": 0.15507330254028376, ""3"": 0.4564433934395657, ""4"": 0.2896919530451701, ""5"": 0.07843498875435186}"
49,3,"{""1"": 0.020356362220628546, ""2"": 0.15507330254028376, ""3"": 0.4564433934395657, ""4"": 0.2896919530451701, ""5"": 0.07843498875435186}"
60,5,"{""1"": 0.08614850279455284, ""2"": 0.3976306370235653, ""3"": 0.286896083522274, ""4"": 0.1698683317554715, ""5"": 0.05945644490413636}"
60,4,"{""1"": 0.08614850279455284, ""2"": 0.3976306370235653, ""3"": 0.286896083522274, ""4"": 0.1698683317554715, ""5"": 0.05945644490413636}"
60,1,"{""1"": 0.08614850279455284, ""2"": 0.3976306370235653, ""3"": 0.286896083522274, ""4"": 0.1698683317554715, ""5"": 0.05945644490413636}"
63,4,"{""1"": 0.08432093063128247, ""2"": 0.18746581570265577, ""3"": 0.2606855283954591, ""4"": 0.3358992130907195, ""5"": 0.13162851217988317}"
63,5,"{""1"": 0.08432093063128247, ""2"": 0.18746581570265577, ""3"": 0.2606855283954591, ""4"": 0.3358992130907195, ""5"": 0.13162851217988317}"
63,1,"{""1"": 0.08432093063128247, ""2"": 0.18746581570265577, ""3"": 0.2606855283954591, ""4"": 0.3358992130907195, ""5"": 0.13162851217988317}"
67,4,"{""1"": 0.055755493924583656, ""2"": 0.09687411201984981, ""3"": 0.24394112081036795, ""4"": 0.20840817213534926, ""5"": 0.39502110110984934}"
67,5,"{""1"": 0.055755493924583656, ""2"": 0.09687411201984981, ""3"": 0.24394112081036795, ""4"": 0.20840817213534926, ""5"": 0.39502110110984934}"
67,1,"{""1"": 0.055755493924583656, ""2"": 0.09687411201984981, ""3"": 0.24394112081036795, ""4"": 0.20840817213534926, ""5"": 0.39502110110984934}"
