comment_id,label,probs
Ugw-4AhDDIPtUPBMNjZ4AaABAg,1.0,"{""1"": 0.11802094363086127, ""2"": 0.04635280643779958, ""3"": 0.1508204927213383, ""4"": 0.6848057572100009}"
Ugw-8-4r_ie_L9ZQ5zd4AaABAg,2.0,"{""1"": 0.06238917382016934, ""2"": 0.02423871810929572, ""3"": 0.09894074317959445, ""4"": 0.8144313648909404}"
Ugw-8Nqin-FLbUbF6114AaABAg,2.0,"{""1"": 0.07409110799560033, ""2"": 0.051665650389690516, ""3"": 0.16877481953564674, ""4"": 0.7054684220790624}"
Ugw-Coi_2IQKUwIZnN14AaABAg,1.0,"{""1"": 0.19485250559456385, ""2"": 0.1838231207389443, ""3"": 0.3018395551124214, ""4"": 0.31948481855407046}"
Ugw-XhqZFNM7Z1aSiMt4AaABAg,3.0,"{""1"": 0.07802237172566198, ""2"": 0.01683966464191598, ""3"": 0.06745865969965305, ""4"": 0.837679303932769}"
Ugw-XkoygOhQH9eyR814AaABAg,1.0,"{""1"": 0.027159886053990695, ""2"": 0.0063713844270252154, ""3"": 0.04580725517036988, ""4"": 0.9206614743486142}"
Ugw-z2euYCdy_8PlvCp4AaABAg,2.0,"{""1"": 0.1813628569296488, ""2"": 0.08793308105344426, ""3"": 0.26188358259703287, ""4"": 0.46882047941987415}"
Ugw-zAoUth-zJSm-Rk14AaABAg,2.0,"{""1"": 0.07075498026377874, ""2"": 0.04041714615575498, ""3"": 0.13138011085671136, ""4"": 0.7574477627237548}"
Ugw0Azrl35Lsi3YKzEp4AaABAg,2.0,"{""1"": 0.19847195944376958, ""2"": 0.10565015158044684, ""3"": 0.2726888874083249, ""4"": 0.4231890015674587}"
Ugw0LNU6yznhlqbjGHx4AaABAg,1.0,"{""1"": 0.15905923700891816, ""2"": 0.08990540214725115, ""3"": 0.2300136660221966, ""4"": 0.5210216948216341}"
Ugw0SKomzyhYyP_9cO14AaABAg,1.0,"{""1"": 0.45202863828123296, ""2"": 0.23038744989973106, ""3"": 0.14159314190384023, ""4"": 0.17599076991519566}"
Ugw0cnGnpB65X7vH34p4AaABAg,4.0,"{""1"": 0.09265175478918687, ""2"": 0.036552572895180054, ""3"": 0.14698130216890049, ""4"": 0.7238143701467326}"
Ugw0hiW_vKxKJg798KN4AaABAg,2.0,"{""1"": 0.13825587962836153, ""2"": 0.09756173655852045, ""3"": 0.16755200050402563, ""4"": 0.5966303833090923}"
Ugw0n4xsKzRQbiYUYNp4AaABAg,1.0,"{""1"": 0.14094467391357418, ""2"": 0.03692849841977497, ""3"": 0.12096381808309342, ""4"": 0.7011630095835575}"
Ugw0qsGcLBGItHFSQb14AaABAg,2.0,"{""1"": 0.15748230112725287, ""2"": 0.12988842457053457, ""3"": 0.34363995677617454, ""4"": 0.3689893175260381}"
Ugw0tPb9IaRFcdHeTD14AaABAg,2.0,"{""1"": 0.3848298241249067, ""2"": 0.22390342496504567, ""3"": 0.12560275286081765, ""4"": 0.26566399804922997}"
Ugw1-cPEeNg4IQUDSy94AaABAg,2.0,"{""1"": 0.1816818483611229, ""2"": 0.07311134199494752, ""3"": 0.14696683158168464, ""4"": 0.5982399780622449}"
Ugw16D2oK20A__5E66N4AaABAg,4.0,"{""1"": 0.13837183450560453, ""2"": 0.07947920710169307, ""3"": 0.2532424418499342, ""4"": 0.5289065165427682}"
Ugw1Cv1E4ZprjTRZwtp4AaABAg,3.0,"{""1"": 0.1599515685649831, ""2"": 0.08045519518686943, ""3"": 0.2721263593432638, ""4"": 0.4874668769048836}"
Ugw1DH6JocRzddkSsId4AaABAg,1.0,"{""1"": 0.4157311417146615, ""2"": 0.2595759059196033, ""3"": 0.12726772647946744, ""4"": 0.19742522588626776}"
Ugw1ELFXR9p7t7aVoNl4AaABAg,2.0,"{""1"": 0.21932610842134284, ""2"": 0.12705726103372925, ""3"": 0.24729751991051188, ""4"": 0.4063191106344161}"
Ugw1N5Ie4Oya-s1zv014AaABAg,1.0,"{""1"": 0.27276449130976593, ""2"": 0.3154128369551215, ""3"": 0.24993214509501252, ""4"": 0.1618905266401001}"
Ugw1SAmYSjT1v9h9iHx4AaABAg,4.0,"{""1"": 0.1926047260842734, ""2"": 0.1100376234404426, ""3"": 0.2365947617360482, ""4"": 0.4607628887392358}"
Ugw1bbBQJxY3yxy4FBN4AaABAg,1.0,"{""1"": 0.13249473880609558, ""2"": 0.19619654114236176, ""3"": 0.3876565727159869, ""4"": 0.28365214733555566}"
Ugw1nCetQgEz2KVCeBB4AaABAg,2.0,"{""1"": 0.09283932868779665, ""2"": 0.02647246100941868, ""3"": 0.10562169883412413, ""4"": 0.7750665114686606}"
Ugw1oyNKWf7LfzCgnO54AaABAg,4.0,"{""1"": 0.09898786311157794, ""2"": 0.047899679956386325, ""3"": 0.16289784686565767, ""4"": 0.6902146100663781}"
Ugw1zjm6xZG2hX6gw754AaABAg,1.0,"{""1"": 0.4114030648706286, ""2"": 0.25466938425510177, ""3"": 0.11512383665991244, ""4"": 0.2188037142143571}"
Ugw2VnU0tp-VzvWbNZh4AaABAg,2.0,"{""1"": 0.07225782610107968, ""2"": 0.8218146028109895, ""3"": 0.01378514965602478, ""4"": 0.0921424214319061}"
Ugw2ZzXiYjBamRelnG14AaABAg,2.0,"{""1"": 0.13458583783151779, ""2"": 0.06960057167525854, ""3"": 0.19930921914282956, ""4"": 0.5965043713503941}"
Ugw2d4oklL_P_AlcWb94AaABAg,3.0,"{""1"": 0.14735374748009838, ""2"": 0.1363607882450857, ""3"": 0.2145738858821606, ""4"": 0.5017115783926552}"
Ugw2h8sGbSNTMpch-Ox4AaABAg,1.0,"{""1"": 0.07829264504949714, ""2"": 0.07079365751935653, ""3"": 0.17600405022699436, ""4"": 0.674909647204152}"
Ugw2wCivJJLEWS-TwFZ4AaABAg,2.0,"{""1"": 0.70112614837751, ""2"": 0.034193033838992366, ""3"": 0.04639059714802853, ""4"": 0.21829022063546905}"
Ugw2xYL1UlMP4b8d4mZ4AaABAg,1.0,"{""1"": 0.16748427030352356, ""2"": 0.11349950991487939, ""3"": 0.2695753412446413, ""4"": 0.44944087853695586}"
Ugw35HSayn6GKNN7RaJ4AaABAg,2.0,"{""1"": 0.14960041577732136, ""2"": 0.08882416863874873, ""3"": 0.27566424711885035, ""4"": 0.48591116846507953}"
Ugw3PrEKmu6EeKJm8Ud4AaABAg,1.0,"{""1"": 0.15692962373105562, ""2"": 0.07365327128883824, ""3"": 0.17659918833062127, ""4"": 0.5928179166494849}"
Ugw3eWrdTQd2jiC0X6R4AaABAg,1.0,"{""1"": 0.1306692600730269, ""2"": 0.024334889240377373, ""3"": 0.1063499429361599, ""4"": 0.7386459077504359}"
Ugw3jbgFGVfdp-XrLnR4AaABAg,3.0,"{""1"": 0.11624384276363318, ""2"": 0.0472232253902048, ""3"": 0.2510812442924838, ""4"": 0.5854516875536782}"
Ugw3kzFMzlbh8_GkAfJ4AaABAg,1.0,"{""1"": 0.14109968292276917, ""2"": 0.15077131717978506, ""3"": 0.3290929109531045, ""4"": 0.3790360889443413}"
Ugw3zIVfCaCfOeZ8SbF4AaABAg,4.0,"{""1"": 0.07092291651144657, ""2"": 0.02739285200787994, ""3"": 0.11383806396010002, ""4"": 0.7878461675205735}"
Ugw4AnWp7D7eeXQGM0p4AaABAg,1.0,"{""1"": 0.12254078373174539, ""2"": 0.038677327834051846, ""3"": 0.14832427897234302, ""4"": 0.6904576094618596}"
Ugw4Iv7NEBL_HvToZMl4AaABAg,4.0,"{""1"": 0.054218983885519975, ""2"": 0.020962476615385063, ""3"": 0.09233671290909963, ""4"": 0.8324818265899953}"
