comment_id,label,probs
0,4,"{""0"": 0.03879663376786594, ""1"": 0.061801252890868005, ""2"": 0.130609557625297, ""3"": 0.31172078701788963, ""4"": 0.4570717686980795}"
0,1,"{""0"": 0.03879663376786594, ""1"": 0.061801252890868005, ""2"": 0.130609557625297, ""3"": 0.31172078701788963, ""4"": 0.4570717686980795}"
0,2,"{""0"": 0.03879663376786594, ""1"": 0.061801252890868005, ""2"": 0.130609557625297, ""3"": 0.31172078701788963, ""4"": 0.4570717686980795}"
0,0,"{""0"": 0.03879663376786594, ""1"": 0.061801252890868005, ""2"": 0.130609557625297, ""3"": 0.31172078701788963, ""4"": 0.4570717686980795}"
0,3,"{""0"": 0.03879663376786594, ""1"": 0.061801252890868005, ""2"": 0.130609557625297, ""3"": 0.31172078701788963, ""4"": 0.4570717686980795}"
1,3,"{""0"": 0.054605308657867224, ""1"": 0.15082446424002702, ""2"": 0.16705729146012796, ""3"": 0.22126221743075633, ""4"": 0.4062507182112215}"
1,2,"{""0"": 0.054605308657867224, ""1"": 0.15082446424002702, ""2"": 0.16705729146012796, ""3"": 0.22126221743075633, ""4"": 0.4062507182112215}"
1,4,"{""0"": 0.054605308657867224, ""1"": 0.15082446424002702, ""2"": 0.16705729146012796, ""3"": 0.22126221743075633, ""4"": 0.4062507182112215}"
1,1,"{""0"": 0.054605308657867224, ""1"": 0.15082446424002702, ""2"": 0.16705729146012796, ""3"": 0.22126221743075633, ""4"": 0.4062507182112215}"
1,0,"{""0"": 0.054605308657867224, ""1"": 0.15082446424002702, ""2"": 0.16705729146012796, ""3"": 0.22126221743075633, ""4"": 0.4062507182112215}"
2,1,"{""0"": 0.11461440742558988, ""1"": 0.24740196516415683, ""2"": 0.19489967895741137, ""3"": 0.18496736929796712, ""4"": 0.2581165791548748}"
2,2,"{""0"": 0.11461440742558988, ""1"": 0.24740196516415683, ""2"": 0.19489967895741137, ""3"": 0.18496736929796712, ""4"": 0.2581165791548748}"
2,0,"{""0"": 0.11461440742558988, ""1"": 0.24740196516415683, ""2"": 0.19489967895741137, ""3"": 0.18496736929796712, ""4"": 0.2581165791548748}"
2,4,"{""0"": 0.11461440742558988, ""1"": 0.24740196516415683, ""2"": 0.19489967895741137, ""3"": 0.18496736929796712, ""4"": 0.2581165791548748}"
2,3,"{""0"": 0.11461440742558988, ""1"": 0.24740196516415683, ""2"": 0.19489967895741137, ""3"": 0.18496736929796712, ""4"": 0.2581165791548748}"
3,1,"{""0"": 0.04150699285162717, ""1"": 0.12091342771999355, ""2"": 0.15627087914824173, ""3"": 0.25416487309986985, ""4"": 0.42714382718026767}"
3,3,"{""0"": 0.04150699285162717, ""1"": 0.12091342771999355, ""2"": 0.15627087914824173, ""3"": 0.25416487309986985, ""4"": 0.42714382718026767}"
3,0,"{""0"": 0.04150699285162717, ""1"": 0.12091342771999355, ""2"": 0.15627087914824173, ""3"": 0.25416487309986985, ""4"": 0.42714382718026767}"
3,4,"{""0"": 0.04150699285162717, ""1"": 0.12091342771999355, ""2"": 0.15627087914824173, ""3"": 0.25416487309986985, ""4"": 0.42714382718026767}"
3,2,"{""0"": 0.04150699285162717, ""1"": 0.12091342771999355, ""2"": 0.15627087914824173, ""3"": 0.25416487309986985, ""4"": 0.42714382718026767}"
4,0,"{""0"": 0.04064987226694771, ""1"": 0.11273219291941201, ""2"": 0.15541835260712844, ""3"": 0.22962402387715264, ""4"": 0.46157555832935915}"
4,3,"{""0"": 0.04064987226694771, ""1"": 0.11273219291941201, ""2"": 0.15541835260712844, ""3"": 0.22962402387715264, ""4"": 0.46157555832935915}"
4,1,"{""0"": 0.04064987226694771, ""1"": 0.11273219291941201, ""2"": 0.15541835260712844, ""3"": 0.22962402387715264, ""4"": 0.46157555832935915}"
4,2,"{""0"": 0.04064987226694771, ""1"": 0.11273219291941201, ""2"": 0.15541835260712844, ""3"": 0.22962402387715264, ""4"": 0.46157555832935915}"
4,4,"{""0"": 0.04064987226694771, ""1"": 0.11273219291941201, ""2"": 0.15541835260712844, ""3"": 0.22962402387715264, ""4"": 0.46157555832935915}"
5,0,"{""0"": 0.09096081502221383, ""1"": 0.35497962081479384, ""2"": 0.24067789433372636, ""3"": 0.13436662401509317, ""4"": 0.1790150458141729}"
5,1,"{""0"": 0.09096081502221383, ""1"": 0.35497962081479384, ""2"": 0.24067789433372636, ""3"": 0.13436662401509317, ""4"": 0.1790150458141729}"
5,3,"{""0"": 0.09096081502221383, ""1"": 0.35497962081479384, ""2"": 0.24067789433372636, ""3"": 0.13436662401509317, ""4"": 0.1790150458141729}"
5,2,"{""0"": 0.09096081502221383, ""1"": 0.35497962081479384, ""2"": 0.24067789433372636, ""3"": 0.13436662401509317, ""4"": 0.1790150458141729}"
5,4,"{""0"": 0.09096081502221383, ""1"": 0.35497962081479384, ""2"": 0.24067789433372636, ""3"": 0.13436662401509317, ""4"": 0.1790150458141729}"
7,1,"{""0"": 0.03852929644176216, ""1"": 0.06884743799287525, ""2"": 0.1260632091813743, ""3"": 0.2611528719417765, ""4"": 0.5054071844422118}"
7,0,"{""0"": 0.03852929644176216, ""1"": 0.06884743799287525, ""2"": 0.1260632091813743, ""3"": 0.2611528719417765, ""4"": 0.5054071844422118}"
7,2,"{""0"": 0.03852929644176216, ""1"": 0.06884743799287525, ""2"": 0.1260632091813743, ""3"": 0.2611528719417765, ""4"": 0.5054071844422118}"
7,4,"{""0"": 0.03852929644176216, ""1"": 0.06884743799287525, ""2"": 0.1260632091813743, ""3"": 0.2611528719417765, ""4"": 0.5054071844422118}"
