comment_id,label,probs
4,5,"{""1"": 0.9995237588882446, ""2"": 0.0004572187317535281, ""3"": 3.5088025924778776e-06, ""4"": 1.5365991202997975e-05, ""5"": 1.4416892213375831e-07}"
4,2,"{""1"": 0.9995237588882446, ""2"": 0.0004572187317535281, ""3"": 3.5088025924778776e-06, ""4"": 1.5365991202997975e-05, ""5"": 1.4416892213375831e-07}"
4,4,"{""1"": 0.9995237588882446, ""2"": 0.0004572187317535281, ""3"": 3.5088025924778776e-06, ""4"": 1.5365991202997975e-05, ""5"": 1.4416892213375831e-07}"
15,4,"{""1"": 0.4919430613517761, ""2"": 0.150163933634758, ""3"": 0.03408373147249222, ""4"": 0.31524404883384705, ""5"": 0.00856526754796505}"
15,5,"{""1"": 0.4919430613517761, ""2"": 0.150163933634758, ""3"": 0.03408373147249222, ""4"": 0.31524404883384705, ""5"": 0.00856526754796505}"
15,2,"{""1"": 0.4919430613517761, ""2"": 0.150163933634758, ""3"": 0.03408373147249222, ""4"": 0.31524404883384705, ""5"": 0.00856526754796505}"
24,5,"{""1"": 0.018123796209692955, ""2"": 0.7812795639038086, ""3"": 0.19871678948402405, ""4"": 0.0018684074748307467, ""5"": 1.137642357207369e-05}"
24,1,"{""1"": 0.018123796209692955, ""2"": 0.7812795639038086, ""3"": 0.19871678948402405, ""4"": 0.0018684074748307467, ""5"": 1.137642357207369e-05}"
24,4,"{""1"": 0.018123796209692955, ""2"": 0.7812795639038086, ""3"": 0.19871678948402405, ""4"": 0.0018684074748307467, ""5"": 1.137642357207369e-05}"
31,5,"{""1"": 0.04454880952835083, ""2"": 0.9135810732841492, ""3"": 0.041355572640895844, ""4"": 0.0004996187053620815, ""5"": 1.4957717212382704e-05}"
31,4,"{""1"": 0.04454880952835083, ""2"": 0.9135810732841492, ""3"": 0.041355572640895844, ""4"": 0.0004996187053620815, ""5"": 1.4957717212382704e-05}"
31,3,"{""1"": 0.04454880952835083, ""2"": 0.9135810732841492, ""3"": 0.041355572640895844, ""4"": 0.0004996187053620815, ""5"": 1.4957717212382704e-05}"
45,4,"{""1"": 0.794543981552124, ""2"": 0.1848243623971939, ""3"": 0.019831540063023567, ""4"": 0.0007587309810332954, ""5"": 4.1378043533768505e-05}"
45,5,"{""1"": 0.794543981552124, ""2"": 0.1848243623971939, ""3"": 0.019831540063023567, ""4"": 0.0007587309810332954, ""5"": 4.1378043533768505e-05}"
45,1,"{""1"": 0.794543981552124, ""2"": 0.1848243623971939, ""3"": 0.019831540063023567, ""4"": 0.0007587309810332954, ""5"": 4.1378043533768505e-05}"
49,5,"{""1"": 1.1706203622452449e-05, ""2"": 0.005442946683615446, ""3"": 0.9652796983718872, ""4"": 0.029252853244543076, ""5"": 1.2782585145032499e-05}"
49,2,"{""1"": 1.1706203622452449e-05, ""2"": 0.005442946683615446, ""3"": 0.9652796983718872, ""4"": 0.029252853244543076, ""5"": 1.2782585145032499e-05}"
49,3,"{""1"": 1.1706203622452449e-05, ""2"": 0.005442946683615446, ""3"": 0.9652796983718872, ""4"": 0.029252853244543076, ""5"": 1.2782585145032499e-05}"
60,5,"{""1"": 0.9988718628883362, ""2"": 0.0010825233766809106, ""3"": 3.681412636069581e-05, ""4"": 6.63287528368528e-06, ""5"": 2.1568155261775246e-06}"
60,4,"{""1"": 0.9988718628883362, ""2"": 0.0010825233766809106, ""3"": 3.681412636069581e-05, ""4"": 6.63287528368528e-06, ""5"": 2.1568155261775246e-06}"
60,1,"{""1"": 0.9988718628883362, ""2"": 0.0010825233766809106, ""3"": 3.681412636069581e-05, ""4"": 6.63287528368528e-06, ""5"": 2.1568155261775246e-06}"
63,4,"{""1"": 0.3486153483390808, ""2"": 0.6321315765380859, ""3"": 0.01919257640838623, ""4"": 5.436551145976409e-05, ""5"": 6.136175215942785e-06}"
63,5,"{""1"": 0.3486153483390808, ""2"": 0.6321315765380859, ""3"": 0.01919257640838623, ""4"": 5.436551145976409e-05, ""5"": 6.136175215942785e-06}"
63,1,"{""1"": 0.3486153483390808, ""2"": 0.6321315765380859, ""3"": 0.01919257640838623, ""4"": 5.436551145976409e-05, ""5"": 6.136175215942785e-06}"
67,4,"{""1"": 7.850564725231379e-05, ""2"": 0.42438024282455444, ""3"": 0.57146817445755, ""4"": 0.004065308254212141, ""5"": 7.790176823618822e-06}"
67,5,"{""1"": 7.850564725231379e-05, ""2"": 0.42438024282455444, ""3"": 0.57146817445755, ""4"": 0.004065308254212141, ""5"": 7.790176823618822e-06}"
67,1,"{""1"": 7.850564725231379e-05, ""2"": 0.42438024282455444, ""3"": 0.57146817445755, ""4"": 0.004065308254212141, ""5"": 7.790176823618822e-06}"
77,4,"{""1"": 0.7529700994491577, ""2"": 0.23586295545101166, ""3"": 0.010836314409971237, ""4"": 0.0002978334086947143, ""5"": 3.278252552263439e-05}"
77,5,"{""1"": 0.7529700994491577, ""2"": 0.23586295545101166, ""3"": 0.010836314409971237, ""4"": 0.0002978334086947143, ""5"": 3.278252552263439e-05}"
77,1,"{""1"": 0.7529700994491577, ""2"": 0.23586295545101166, ""3"": 0.010836314409971237, ""4"": 0.0002978334086947143, ""5"": 3.278252552263439e-05}"
78,3,"{""1"": 2.8086349630029872e-05, ""2"": 0.002645471366122365, ""3"": 0.48240143060684204, ""4"": 0.47532644867897034, ""5"": 0.03959861025214195}"
78,5,"{""1"": 2.8086349630029872e-05, ""2"": 0.002645471366122365, ""3"": 0.48240143060684204, ""4"": 0.47532644867897034, ""5"": 0.03959861025214195}"
78,2,"{""1"": 2.8086349630029872e-05, ""2"": 0.002645471366122365, ""3"": 0.48240143060684204, ""4"": 0.47532644867897034, ""5"": 0.03959861025214195}"
83,5,"{""1"": 0.0011878472287207842, ""2"": 0.0319594070315361, ""3"": 0.2272392064332962, ""4"": 0.6066069602966309, ""5"": 0.13300657272338867}"
83,4,"{""1"": 0.0011878472287207842, ""2"": 0.0319594070315361, ""3"": 0.2272392064332962, ""4"": 0.6066069602966309, ""5"": 0.13300657272338867}"
83,2,"{""1"": 0.0011878472287207842, ""2"": 0.0319594070315361, ""3"": 0.2272392064332962, ""4"": 0.6066069602966309, ""5"": 0.13300657272338867}"
85,5,"{""1"": 0.9999353289604187, ""2"": 5.700673136743717e-05, ""3"": 1.0321288073100732e-06, ""4"": 6.5328367782058194e-06, ""5"": 7.65823457982151e-08}"
85,3,"{""1"": 0.9999353289604187, ""2"": 5.700673136743717e-05, ""3"": 1.0321288073100732e-06, ""4"": 6.5328367782058194e-06, ""5"": 7.65823457982151e-08}"
85,4,"{""1"": 0.9999353289604187, ""2"": 5.700673136743717e-05, ""3"": 1.0321288073100732e-06, ""4"": 6.5328367782058194e-06, ""5"": 7.65823457982151e-08}"
95,4,"{""1"": 0.41315957903862, ""2"": 0.11208054423332214, ""3"": 0.021933535113930702, ""4"": 0.4449317753314972, ""5"": 0.007894610054790974}"
