comment_id,label,probs
Ugw-4AhDDIPtUPBMNjZ4AaABAg,1.0,"{""1"": 0.9240373969078064, ""2"": 0.02478308416903019, ""3"": 0.02834465727210045, ""4"": 0.02283485233783722}"
Ugw-8-4r_ie_L9ZQ5zd4AaABAg,2.0,"{""1"": 0.028907258063554764, ""2"": 0.5421859622001648, ""3"": 0.40868136286735535, ""4"": 0.020225508138537407}"
Ugw-8Nqin-FLbUbF6114AaABAg,2.0,"{""1"": 0.00022141252702567726, ""2"": 0.1217096820473671, ""3"": 0.8677765130996704, ""4"": 0.010292395949363708}"
Ugw-Coi_2IQKUwIZnN14AaABAg,1.0,"{""1"": 0.6262096762657166, ""2"": 0.23256203532218933, ""3"": 0.09786044806241989, ""4"": 0.04336779937148094}"
Ugw-XhqZFNM7Z1aSiMt4AaABAg,3.0,"{""1"": 0.0007039631018415093, ""2"": 0.06776897609233856, ""3"": 0.7778862714767456, ""4"": 0.15364080667495728}"
Ugw-XkoygOhQH9eyR814AaABAg,1.0,"{""1"": 4.220603659632616e-05, ""2"": 0.0035909870639443398, ""3"": 0.09917299449443817, ""4"": 0.8971937894821167}"
Ugw-z2euYCdy_8PlvCp4AaABAg,2.0,"{""1"": 0.9409775733947754, ""2"": 0.04504970833659172, ""3"": 0.013698937371373177, ""4"": 0.00027383887208998203}"
Ugw-zAoUth-zJSm-Rk14AaABAg,2.0,"{""1"": 0.028138259425759315, ""2"": 0.8495095372200012, ""3"": 0.12095952033996582, ""4"": 0.0013926628744229674}"
Ugw0Azrl35Lsi3YKzEp4AaABAg,2.0,"{""1"": 0.8446709513664246, ""2"": 0.15258972346782684, ""3"": 0.0026052806060761213, ""4"": 0.0001340196467936039}"
Ugw0LNU6yznhlqbjGHx4AaABAg,1.0,"{""1"": 0.0009346426231786609, ""2"": 0.25909265875816345, ""3"": 0.7239334583282471, ""4"": 0.016039272770285606}"
Ugw0SKomzyhYyP_9cO14AaABAg,1.0,"{""1"": 0.6934722661972046, ""2"": 0.19535821676254272, ""3"": 0.03968329727649689, ""4"": 0.07148627191781998}"
Ugw0cnGnpB65X7vH34p4AaABAg,4.0,"{""1"": 0.0001483356609242037, ""2"": 0.07954779267311096, ""3"": 0.8603368401527405, ""4"": 0.0599670372903347}"
Ugw0hiW_vKxKJg798KN4AaABAg,2.0,"{""1"": 0.03056025505065918, ""2"": 0.7165554761886597, ""3"": 0.23473021388053894, ""4"": 0.01815398409962654}"
Ugw0n4xsKzRQbiYUYNp4AaABAg,1.0,"{""1"": 0.9838002324104309, ""2"": 0.013948914594948292, ""3"": 0.0021099639125168324, ""4"": 0.00014089548494666815}"
Ugw0qsGcLBGItHFSQb14AaABAg,2.0,"{""1"": 0.0024793543852865696, ""2"": 0.4023299217224121, ""3"": 0.592397928237915, ""4"": 0.0027927865739911795}"
Ugw0tPb9IaRFcdHeTD14AaABAg,2.0,"{""1"": 0.9547597765922546, ""2"": 0.03128703311085701, ""3"": 0.008521351963281631, ""4"": 0.005431880708783865}"
