comment_id,label,probs
0,4,"{""0"": 4.350399467512034e-05, ""1"": 0.0004842397174797952, ""2"": 0.03314521536231041, ""3"": 0.7656907439231873, ""4"": 0.20063628256320953}"
0,1,"{""0"": 4.350399467512034e-05, ""1"": 0.0004842397174797952, ""2"": 0.03314521536231041, ""3"": 0.7656907439231873, ""4"": 0.20063628256320953}"
0,2,"{""0"": 4.350399467512034e-05, ""1"": 0.0004842397174797952, ""2"": 0.03314521536231041, ""3"": 0.7656907439231873, ""4"": 0.20063628256320953}"
0,0,"{""0"": 4.350399467512034e-05, ""1"": 0.0004842397174797952, ""2"": 0.03314521536231041, ""3"": 0.7656907439231873, ""4"": 0.20063628256320953}"
0,3,"{""0"": 4.350399467512034e-05, ""1"": 0.0004842397174797952, ""2"": 0.03314521536231041, ""3"": 0.7656907439231873, ""4"": 0.20063628256320953}"
1,3,"{""0"": 0.00046620468492619693, ""1"": 0.15453338623046875, ""2"": 0.8304426074028015, ""3"": 0.014503054320812225, ""4"": 5.4703454225091264e-05}"
1,2,"{""0"": 0.00046620468492619693, ""1"": 0.15453338623046875, ""2"": 0.8304426074028015, ""3"": 0.014503054320812225, ""4"": 5.4703454225091264e-05}"
1,4,"{""0"": 0.00046620468492619693, ""1"": 0.15453338623046875, ""2"": 0.8304426074028015, ""3"": 0.014503054320812225, ""4"": 5.4703454225091264e-05}"
1,1,"{""0"": 0.00046620468492619693, ""1"": 0.15453338623046875, ""2"": 0.8304426074028015, ""3"": 0.014503054320812225, ""4"": 5.4703454225091264e-05}"
1,0,"{""0"": 0.00046620468492619693, ""1"": 0.15453338623046875, ""2"": 0.8304426074028015, ""3"": 0.014503054320812225, ""4"": 5.4703454225091264e-05}"
2,1,"{""0"": 0.4874335825443268, ""1"": 0.43163663148880005, ""2"": 0.030315285548567772, ""3"": 0.022036146372556686, ""4"": 0.02857835404574871}"
2,2,"{""0"": 0.4874335825443268, ""1"": 0.43163663148880005, ""2"": 0.030315285548567772, ""3"": 0.022036146372556686, ""4"": 0.02857835404574871}"
